place,address,latitude,longitude,country_geocoded,country_added,country
hindustan college of science and technology,"Agra-Delhi Highway (NH-2), Farah, Distt. Mathura, Jamaalpur, Uttar Pradesh 281122, India",25.4176306,82.8734843,India,,India
college of horticulture,"1970 Folwell Ave # 305, St Paul, MN 55108, USA",44.9874799,-93.1834616,United States,,United States
south florida water management district,"80 S Hoagland Blvd, Kissimmee, FL 34741, USA",28.2910479,-81.4477604,United States,,United States
united states forest service,"US Forest Service, 30403 Kings Valley Dr suite 2-115, Conifer, CO 80433, USA",39.492196,-105.347646,United States,,United States
university of wollongong,"Northfields Ave, Wollongong NSW 2522, Australia",-34.4054039,150.87843,Australia,,Australia
kingston university,"Penrhyn Rd, Kingston upon Thames KT1 2EE, UK",51.4032431,-0.3034882,United Kingdom,,United Kingdom
university college london,"Gower St, Bloomsbury, London WC1E 6BT, UK",51.5245592,-0.1340401,United Kingdom,,United Kingdom
pontifical catholic university of chile,"Av Libertador Bernardo O'Higgins 340, Santiago, Región Metropolitana, Chile",-33.4418068,-70.6399544,Chile,,Chile
massachusetts institute of technology,"77 Massachusetts Ave, Cambridge, MA 02139, USA",42.360091,-71.09416,United States,,United States
university of sussex,"Falmer, Brighton BN1 9RH, UK",50.8670895,-0.087914,United Kingdom,,United Kingdom
pennsylvania state university,"State College, PA 16801, USA",40.7982133,-77.8599084,United States,,United States
george washington university,"2121 I St NW, Washington, DC 20052, USA",38.8997145,-77.0485992,United States,,United States
american university in cairo,"AUC Avenue، Road، First New Cairo, Cairo Governorate 11835, Egypt",30.018923,31.499674,Egypt,,Egypt
university of saskatchewan,"Saskatoon, SK S7N, Canada",52.1334003,-106.6313582,Canada,,Canada
national united university,"360, Taiwan, Miaoli County, Miaoli City, 恭敬里聯大1號",24.5458044,120.81232,Taiwan,,Taiwan
punjab agricultural university,"Ferozpur Rd, Ludhiana, Punjab 141027, India",30.9010281,75.8071228,India,,India
jamia millia islamia,"Jamia Millia Islamia, Jamia Nagar, Okhla, New Delhi, Delhi 110025, India",28.5604795,77.2901997,India,,India
academia sinica,"No. 128號, Section 2, Academia Rd, Nangang District, Taipei City, Taiwan 11529",25.0423834,121.6160711,Taiwan,,Taiwan
pace university,"One Pace Plaza, New York, NY 10038, USA",40.7110772,-74.004811,United States,,United States
university of helsinki,"Yliopistonkatu 4, 00100 Helsinki, Finland",60.1726348,24.9510419,Finland,,Finland
kanazawa university,"Japan, 〒920-1192 Ishikawa, Kanazawa, Kakumamachi, ヌ７番地",36.5460981,136.7073747,Japan,,Japan
mitsubishi research institute,"201 Broadway, Cambridge, MA 02139, USA",42.366183,-71.092455,United States,,United States
national parks board,"1515 SE Monroe St, Topeka, KS 66612, USA",39.0379038,-95.6763774,United States,,United States
kyoto gakuen university,"Japan, 〒621-8555 Kyoto, Kameoka, Sogabechō Nanjō, Ōtani−１−１",34.9944275,135.5547656,Japan,,Japan
bentley university,"175 Forest St, Waltham, MA 02452, USA",42.385459,-71.2218167,United States,,United States
university of manitoba,"66 Chancellors Cir, Winnipeg, MB R3T 2N2, Canada",49.8075008,-97.1366259,Canada,,Canada
universidade federal de santa catarina,"R. Eng. Agronômico Andrei Cristian Ferreira, s/n - Trindade, Florianópolis - SC, 88040-900, Brazil",-27.6000837,-48.5194214,Brazil,,Brazil
universidade nova de lisboa,"1070 Lisbon, Portugal",38.733682,-9.160333,Portugal,,Portugal
university of edinburgh,"Old College, South Bridge, Edinburgh EH8 9YL, UK",55.9445158,-3.1892413,United Kingdom,,United Kingdom
hokkaido university,"5 Chome Kita 8 Jonishi, Kita Ward, Sapporo, Hokkaido 060-0808, Japan",43.0779575,141.340013,Japan,,Japan
audi,"4208 S Memorial Dr, Tulsa, OK 74145, USA",36.1016934,-95.8870819,United States,,United States
deutsche gesellschaft fur internationale zusammenarbeit,"Av. Insurgentes Sur 826, Col del Valle Centro, Benito Juárez, 03100 Ciudad de México, CDMX, Mexico",19.3890307,-99.1736613,Mexico,,Mexico
european forest institute,,,,,Finland,Finland
institut de radioprotection et de surete nucleaire,,,,,France,France
ewing marion kauffman foundation,"4801 Rockhill Rd, Kansas City, MO 64110, USA",39.0393974,-94.5770726,United States,,United States
international association of hydrogeologists,,,,,United Kingdom,United Kingdom
anhembi morumbi university,"R. Jaceru, 247 - Morumbi, São Paulo - SP, 04705-000, Brazil",-23.6223115,-46.6940611,Brazil,,Brazil
missouri botanical garden,"Missouri Botanical Garden, 4344 Shaw Blvd, St. Louis, MO 63110, USA",38.6127672,-90.2593798,United States,,United States
netherlands environmental assessment agency,,,,,Netherlands,Netherlands
university of queensland,"Tucson, AZ 85721, USA",32.2318851,-110.9501094,United States,,United States
southern new hampshire university,"2500 N River Rd, Manchester, NH 03106, USA",43.0406977,-71.4533298,United States,,United States
university of sao paulo,"Butanta, São Paulo - State of São Paulo, Brazil",-23.5613991,-46.7307891,Brazil,,Brazil
federal university of sao paulo,"R. Sena Madureira, 1500 - Vila Clementino, São Paulo - SP, 04021-001, Brazil",-23.5916438,-46.6489943,Brazil,,Brazil
federal university of rio de janeiro,"Av. Pedro Calmon, 550 - Cidade Universitária da Universidade Federal do Rio de Janeiro, Rio de Janeiro - RJ, 21941-901, Brazil",-22.8617077,-43.2234035,Brazil,,Brazil
thompson rivers university,"805 TRU Way, Kamloops, BC V2C 0C8, Canada",50.6705062,-120.365894,Canada,,Canada
katholieke universiteit leuven,"Oude Markt 13, 3000 Leuven, Belgium",50.8779545,4.7002953,Belgium,,Belgium
leibniz association,,,,,Germany,Germany
ecole normale superieure,"45 Rue d'Ulm, 75005 Paris, France",48.8422058,2.3451689,France,,France
university of turku,"20500 Turku, Finland",60.4562974,22.2851138,Finland,,Finland
university of auckland,"Auckland CBD, Auckland 1010, New Zealand",-36.8523378,174.7691073,New Zealand,,New Zealand
south african medical research council,"10 Center Dr, Bethesda, MD 20814, USA",39.0027771,-77.1044597,United States,,United States
university of south carolina,"Columbia, SC 29208, USA",33.9937575,-81.0299186,United States,,United States
university of southern california,"Los Angeles, CA 90007, USA",34.0223519,-118.285117,United States,,United States
university of genoa,"Via Balbi, 5, 16126 Genova GE, Italy",44.4149029,8.926743,Italy,,Italy
lancaster university,"Bailrigg, Lancaster LA1 4YW, UK",54.0103942,-2.7877294,United Kingdom,,United Kingdom
university of the aegean,"Lesbos 811 00, Greece",39.0851185,26.5689887,Greece,,Greece
jaramogi oginga odinga university of science and technology,"Ukwala-Bondo Rd, Bondo, Kenya",-0.0925556,34.2586682,Kenya,,Kenya
princeton university,"Princeton, NJ 08544, USA",40.3430942,-74.6550739,United States,,United States
united states army corps of engineers,"Co Rd 1520, Eureka Springs, AR 72632, USA",36.3645843,-93.8616443,United States,,United States
central queensland university,"554-700 Yaamba Rd, Norman Gardens QLD 4701, Australia",-23.3264685,150.5189408,Australia,,Australia
olabisi onabanjo university,"Ago-Iwoye, Nigeria",6.9423589,3.9215541,Nigeria,,Nigeria
texas a m university,"400 Bizzell St, College Station, TX 77843, USA",30.6187558,-96.3364772,United States,,United States
massey university,"1603 Wedgewood Ave, Nashville, TN 37212, USA",36.1355931,-86.7937042,United States,,United States
missouri university of science and technology,"106, Parker Hall, 300 W 13th St, Rolla, MO 65409, USA",37.9537078,-91.7756271,United States,,United States
university of liege,"Place du 20 Août 7, 4000 Liège, Belgium",50.5830803,5.559064,Belgium,,Belgium
university of sydney,"Camperdown NSW 2006, Australia",-33.8885748,151.1873494,Australia,,Australia
landcare research,"231 Morrin Road, St Johns, Auckland 1072, New Zealand",-36.883379,174.848892,New Zealand,,New Zealand
agresearch,"1 Genstar Ln # A, Joliet, IL 60435, USA",41.5557071,-88.0835878,United States,,United States
universiti utara malaysia,"Sintok, 06010 Bukit Kayu Hitam, Kedah, Malaysia",6.4575096,100.5054318,Malaysia,,Malaysia
heidelberg university,"310 E Market St, Tiffin, OH 44883, USA",41.1163289,-83.1680644,United States,,United States
florida international university,"11200 SW 8th St, Miami, FL 33199, USA",25.7561275,-80.3768786,United States,,United States
fon university,"Kiro Gligorov 5, Skopje 1000, North Macedonia",41.9932472,21.4737648,North Macedonia,,North Macedonia
arup laboratories,"500 Chipeta Way, Salt Lake City, UT 84108, USA",40.7570035,-111.8253734,United States,,United States
teikyo university,"Lafcadio Hearn Centre, Mill Hill Lane, Durham DH1 3YB, UK",54.763574,-1.582235,United Kingdom,,United Kingdom
charles iii university of madrid,"Calle Madrid, 126, 28903 Getafe, Madrid, Spain",40.3172177,-3.7274675,Spain,,Spain
alexander technological educational institute of thessaloniki,"Sindos 574 00, Greece",40.656953,22.803834,Greece,,Greece
cork institute of technology,"Rossa Ave, Bishopstown, Cork, T12 P928, Ireland",51.8851366,-8.535415,Ireland,,Ireland
humboldt university of berlin,"Unter den Linden 6, 10117 Berlin, Germany",52.517883,13.3936551,Germany,,Germany
stockholm international peace research institute,"Signalistgatan 9, 169 72 Solna, Sweden",59.3692163,18.0161564,Sweden,,Sweden
australian defence force academy,"Northcott Dr, Campbell ACT 2612, Australia",-35.2917997,149.1661406,Australia,,Australia
cairo university,"شارع الجامعة، Cairo University Rd, Giza Governorate 12613, Egypt",30.0227646,31.2073201,Egypt,,Egypt
indian school of mines,"Police Line Road, Main Campus IIT (ISM, IIT (ISM, Hirapur, Sardar Patel Nagar, Dhanbad, Jharkhand 826004, India",23.8142953,86.4411807,India,,India
university of missouri kansas city,"5000 Holmes St, Kansas City, MO 64110, USA",39.0346733,-94.5785312,United States,,United States
university of ngaoundere,"Unnamed Rd, Yaounde, Cameroon",7.4215865,13.5407872,Cameroon,,Cameroon
polytechnic university of turin,"Corso Castelfidardo, 10138 Torino TO, Italy",45.064908,7.660017,Italy,,Italy
aristotle university of thessaloniki,"Thessaloniki 541 24, Greece",40.6308283,22.9592224,Greece,,Greece
university of venda,"University Rd, Thohoyandou, 0950, South Africa",-22.9761353,30.4464797,South Africa,,South Africa
university of navarra,"Campus Universitario, 31009 Pamplona, Navarra, Spain",42.8014918,-1.6597366,Spain,,Spain
university of Philippines los banos,"Pedro R. Sandoval Ave, Los Baños, Laguna, Philippines",14.1648491,121.2412634,Philippines,,Philippines
national institute for environmental studies,"16-2 Onogawa, Tsukuba, Ibaraki 305-0053, Japan",36.0500792,140.1194881,Japan,,Japan
indian institute of management ahmedabad,"Sargam Marg, Vastrapur, I I M, Vastrapur, Ahmedabad, Gujarat 380015, India",23.0329473,72.5327703,India,,India
international rice research institute,"Eye Street, 1201 I St NW, Washington, DC 20005, USA",38.901519,-77.0283362,United States,,United States
national development and reform commission,,,,,China,China
heriot watt university,"Campus The Avenue, Edinburgh, Currie EH14 4AS, UK",55.9096602,-3.3203494,United Kingdom,,United Kingdom
pukyong national university,"South Korea, Busan, Nam-gu, Daeyeon 3(sam)-dong, Yongso-ro, 45",35.134032,129.1031735,South Korea,,South Korea
university of szeged,"Szeged, Dugonics tér 13, 6720 Hungary",46.2473322,20.1476209,Hungary,,Hungary
university of huddersfield,"Queensgate, Huddersfield HD1 3DH, UK",53.643727,-1.7787888,United Kingdom,,United Kingdom
aarhus university,"Nordre Ringgade 1, 8000 Aarhus C, Denmark",56.1681384,10.2030118,Denmark,,Denmark
kaiserslautern university of technology,"Erwin-Schrödinger-Straße 52, 67663 Kaiserslautern, Germany",49.4253891,7.7553196,Germany,,Germany
national yunlin university of science and technology,"No. 123號, Section 3, Daxue Road, Douliu City, Yunlin County, Taiwan 64002",23.6960596,120.5340433,Taiwan,,Taiwan
law school admission council,"662 Penn St, Newtown, PA 18940, USA",40.2253173,-74.9215763,United States,,United States
delft university of technology,"Mekelweg 5, 2628 CD Delft, Netherlands",51.9962928,4.375942,Netherlands,,Netherlands
united nations development programme,"1 United Nations Plaza, New York, NY 10017, USA",40.750426,-73.9691368,United States,,United States
university of kashmir,"Hazaratbal, Srinagar, Jammu and Kashmir 190006",34.1279625,74.8365172,,Kashmir,Kashmir
indian institute of science,"CV Raman Rd, Bengaluru, Karnataka 560012, India",13.0218597,77.5671423,India,,India
lawrence berkeley national laboratory,"1 Cyclotron Rd, Berkeley, CA 94720, USA",37.8759016,-122.2500545,United States,,United States
poznan university of technology,"Plac Marii Skłodowskiej-Curie 5, 60-965 Poznań, Poland",52.3941095,16.91838,Poland,,Poland
bar ilan university,"Ramat Gan, 5290002, Israel",32.0691989,34.8430876,Israel,,Israel
adria airways,,,,,Slovenia,Slovenia
alpen adria universitat klagenfurt,"Universitätsstraße 65-67, 9020 Klagenfurt am Wörthersee, Austria",46.6160474,14.2654238,Austria,,Austria
Macao university of science and technology,"Av. Wai Long, Macao",22.152579,113.5676887,Macao,,Macao
ashkelon academic college,"Yitshak Ben Zvi St 12, Ashkelon, Israel",31.6693632,34.5720444,Israel,,Israel
akdeniz university,"Pınarbaşı, Akdeniz Ünv., 07070 Konyaaltı/Antalya, Turkey",36.8945335,30.655353,Turkey,,Turkey
queensland university of technology,"2 George St, Brisbane City QLD 4000, Australia",-27.477357,153.028415,Australia,,Australia
cork college of commerce,"Morrison's Quay, Centre, Cork, Ireland",51.8956432,-8.4694212,Ireland,,Ireland
china agricultural university,"17 Qinghua E Rd, Haidian Qu, Beijing Shi, China",40.004202,116.352988,China,,China
national institute of technology hamirpur,"Hamirpur, Himachal Pradesh 177005, India",31.708371,76.527356,India,,India
kansas state university,"Manhattan, KS 66506, USA",39.1974437,-96.5847249,United States,,United States
national technical university of athens,"Athens 106 82, Greece",37.9877159,23.7318586,Greece,,Greece
technical university of berlin,"Straße des 17. Juni 135, 10623 Berlin, Germany",52.5125322,13.3269446,Germany,,Germany
university of ottawa,"75 Laurier Ave. E, Ottawa, ON K1N 6N5, Canada",45.4231064,-75.6831329,Canada,,Canada
shinshu university,"3-chōme-1-1 Asahi, Matsumoto, Nagano 390-8621, Japan",36.250076,137.9788675,Japan,,Japan
max planck society,"1 Max Planck Way, Jupiter, FL 33458, USA",26.8838274,-80.1148609,United States,,United States
stellenbosch university,"Stellenbosch Central, Stellenbosch, South Africa",-33.9328078,18.864447,South Africa,,South Africa
science college,"5190 NW 167th St, Hialeah, FL 33014, USA",25.9247102,-80.2846575,United States,,United States
virginia tech,"Blacksburg, VA 24061, USA",37.2283843,-80.4234167,United States,,United States
university of vechta,"Driverstraße 22, 49377 Vechta, Germany",52.7209126,8.2941199,Germany,,Germany
united states environmental protection agency,"Topeka, KS 66612, USA",39.0397435,-95.6799816,United States,,United States
agricultural university of athens,"Iera Odos 75, Athina 118 55, Greece",37.9826666,23.7054602,Greece,,Greece
university of ibadan,"Oduduwa Road, Ibadan, Nigeria",7.4442593,3.8994577,Nigeria,,Nigeria
chemnitz university of technology,"Str. der Nationen 62, 09111 Chemnitz, Germany",50.8391904,12.9274894,Germany,,Germany
west texas a m university,"2501 4th Ave, Canyon, TX 79016, USA",34.9816909,-101.9160329,United States,,United States
international maritime organization,"203 SW 16th Ct, Fort Lauderdale, FL 33315, USA",26.1010817,-80.1441069,United States,,United States
international food policy research institute,"Eye Street, 1201 I St NW, Washington, DC 20005, USA",38.901519,-77.0283362,United States,,United States
university of illinois at urbana champaign,"Champaign, IL, USA",40.1019523,-88.2271615,United States,,United States
boston college,"140 Commonwealth Avenue, Chestnut Hill, MA 02467, USA",42.3355488,-71.1684945,United States,,United States
energy biosciences institute,"2151 Berkeley Way, Berkeley, CA 94720, USA",37.87385,-122.266984,United States,,United States
dresden university of technology,"01069 Dresden, Germany",51.0292734,13.7289964,Germany,,Germany
university of ghana,"Legon Boundary, Accra, Ghana",5.650562,-0.1962244,Ghana,,Ghana
london school of business and management,"3 Lower Thames St, Bridge, London EC4R 6HE, UK",51.5089445,-0.0856925,United Kingdom,,United Kingdom
